Region,Date,Rainfall Deficit,SPI,SPEI,Drought Risk
Anuradapura AdministrativeArea4,2005-10-01,229.1311025,-1.703814987,0.810140743,High Risk
Anuradapura AdministrativeArea4,2005-10-02,262.4532663,1.351640414,-1.257513882,Moderate Risk
Anuradapura AdministrativeArea3,2005-10-03,153.3338617,-0.9032788,0.371717015,Moderate Risk
Anuradapura AdministrativeArea2,2005-10-04,186.192033,0.13640695,-1.301910095,Moderate Risk
Anuradapura AdministrativeArea4,2005-10-05,52.66685267,-2.272056677,0.888934854,High Risk
Anuradapura AdministrativeArea4,2005-10-06,86.51329075,0.000452113,-0.771365367,Moderate Risk
Anuradapura AdministrativeArea2,2005-10-07,211.0484814,-0.598677334,0.457664811,Moderate Risk
Anuradapura AdministrativeArea1,2005-10-08,190.5792999,0.930326466,1.53070904,High Risk
Anuradapura AdministrativeArea3,2005-10-09,99.33312839,-2.2960816,-0.047063495,Moderate Risk
Anuradapura AdministrativeArea4,2005-10-10,110.8661985,0.624727361,-1.23083156,Moderate Risk
Anuradapura AdministrativeArea1,2005-10-11,136.0205505,1.359780368,1.544491604,High Risk
Anuradapura AdministrativeArea1,2005-10-12,229.1036782,-2.436109267,-0.565681799,Moderate Risk
Anuradapura AdministrativeArea1,2005-10-13,202.4291507,1.249816723,0.921011501,Low Risk
Anuradapura AdministrativeArea2,2005-10-14,67.39281604,-1.848979864,-0.719617286,Moderate Risk
Anuradapura AdministrativeArea1,2005-10-15,239.9847873,0.990280577,-0.807138229,Moderate Risk
Anuradapura AdministrativeArea4,2005-10-16,115.6648908,-0.223618118,0.568113037,Moderate Risk
Anuradapura AdministrativeArea1,2005-10-17,217.9399196,0.259956532,-1.374754259,Moderate Risk
Anuradapura AdministrativeArea1,2005-10-18,80.84071117,-0.813263748,1.467895483,Moderate Risk
Anuradapura AdministrativeArea1,2005-10-19,299.4803192,-1.272667968,-0.449504053,Moderate Risk
Anuradapura AdministrativeArea3,2005-10-20,70.08379267,-2.14476321,-1.922890256,High Risk
Anuradapura AdministrativeArea4,2005-10-21,235.4335071,1.823449937,-0.778254106,Moderate Risk
Anuradapura AdministrativeArea3,2005-10-22,185.3325898,0.552146078,1.139865298,Low Risk
Anuradapura AdministrativeArea3,2005-10-23,71.48479782,2.413995797,1.437435421,High Risk
Anuradapura AdministrativeArea1,2005-10-24,56.70261439,1.752259502,0.271521108,High Risk
Anuradapura AdministrativeArea1,2005-10-25,140.6664294,1.848166336,-0.823562728,Moderate Risk
Anuradapura AdministrativeArea1,2005-10-26,250.555983,0.489248403,0.111416415,Low Risk
Anuradapura AdministrativeArea2,2005-10-27,60.28781007,-2.095286478,1.345501195,High Risk
Anuradapura AdministrativeArea4,2005-10-28,226.0996658,2.06698131,-0.735848681,Moderate Risk
Anuradapura AdministrativeArea2,2005-10-29,213.8440691,-1.910568829,-0.458252106,Moderate Risk
Anuradapura AdministrativeArea4,2005-10-30,116.3844192,0.085730047,0.158776532,Low Risk
Anuradapura AdministrativeArea1,2005-10-31,69.37300893,1.784278691,1.548552783,No Risk
Anuradapura AdministrativeArea4,2005-11-01,278.8304901,-0.137959928,0.328595735,Moderate Risk
Anuradapura AdministrativeArea4,2005-11-02,125.0874507,-1.671648229,-1.169539378,Moderate Risk
Anuradapura AdministrativeArea3,2005-11-03,77.84580795,-0.634015756,-1.643583848,Moderate Risk
Anuradapura AdministrativeArea4,2005-11-04,220.3792696,2.441936801,-1.619944172,High Risk
Anuradapura AdministrativeArea4,2005-11-05,104.1703072,2.498795932,1.800998295,No Risk
Anuradapura AdministrativeArea3,2005-11-06,168.9076889,1.05417495,1.289649901,Low Risk
Anuradapura AdministrativeArea2,2005-11-07,62.60138606,1.939961547,1.063418761,High Risk
Anuradapura AdministrativeArea4,2005-11-08,298.2459872,-2.278966359,-0.014541683,Moderate Risk
Anuradapura AdministrativeArea2,2005-11-09,161.9052817,-1.120142125,0.690158469,Moderate Risk
Anuradapura AdministrativeArea2,2005-11-10,299.7774953,-0.655202253,-1.490678782,Moderate Risk
Anuradapura AdministrativeArea1,2005-11-11,146.4187192,-2.440011763,0.483582863,High Risk
Anuradapura AdministrativeArea4,2005-11-12,136.963139,-0.615192222,1.24312293,Moderate Risk
Anuradapura AdministrativeArea3,2005-11-13,278.6430821,-2.034842075,-1.751445039,High Risk
Anuradapura AdministrativeArea3,2005-11-14,132.3664635,0.08704651,-0.815398311,Moderate Risk
Anuradapura AdministrativeArea1,2005-11-15,158.0013868,-2.477903456,-1.558885307,High Risk
Anuradapura AdministrativeArea3,2005-11-16,69.52760918,-1.147750557,-0.959091856,Moderate Risk
Anuradapura AdministrativeArea4,2005-11-17,288.865597,1.831417013,1.090095488,High Risk
Anuradapura AdministrativeArea2,2005-11-18,71.28781021,-1.43470973,-0.671803335,Moderate Risk
Anuradapura AdministrativeArea2,2005-11-19,242.7962334,-2.175782852,0.758735392,High Risk
Anuradapura AdministrativeArea3,2005-11-20,184.6538485,-1.251346078,1.093210084,Moderate Risk
Anuradapura AdministrativeArea3,2005-11-21,65.35128601,1.63779353,1.266554763,High Risk
Anuradapura AdministrativeArea3,2005-11-22,50.42595701,0.435936817,1.493501774,Low Risk
Anuradapura AdministrativeArea2,2005-11-23,283.8884096,0.430371847,0.390543248,Low Risk
Anuradapura AdministrativeArea4,2005-11-24,235.5433511,-2.497129942,-0.877440672,Moderate Risk
Anuradapura AdministrativeArea4,2005-11-25,221.6090609,-0.139243931,-1.397765872,Moderate Risk
Anuradapura AdministrativeArea4,2005-11-26,159.6391326,-1.171909801,0.014834617,Moderate Risk
Anuradapura AdministrativeArea4,2005-11-27,109.6534467,-0.818954939,-1.585771074,Moderate Risk
Anuradapura AdministrativeArea4,2005-11-28,219.9657687,0.493433188,1.642895916,High Risk
Anuradapura AdministrativeArea1,2005-11-29,202.0752672,1.871698876,-0.230079048,Moderate Risk
Anuradapura AdministrativeArea3,2005-11-30,231.5855487,-1.591715471,1.491936583,High Risk
Anuradapura AdministrativeArea4,2005-12-01,141.4481296,1.341110118,0.837081535,Low Risk
Anuradapura AdministrativeArea1,2005-12-02,296.7309401,-2.255489113,1.428870251,High Risk
Anuradapura AdministrativeArea4,2005-12-03,66.75216386,-0.86635417,1.535832357,Moderate Risk
Anuradapura AdministrativeArea3,2005-12-04,69.92540426,-1.405436552,-1.786826006,Moderate Risk
Anuradapura AdministrativeArea4,2005-12-05,279.2189619,2.077919918,0.901031391,High Risk
Anuradapura AdministrativeArea4,2005-12-06,211.9266087,-1.610010468,-1.093809214,Moderate Risk
Anuradapura AdministrativeArea4,2005-12-07,131.583517,0.393159591,1.957187622,High Risk
Anuradapura AdministrativeArea3,2005-12-08,240.4881894,-1.676084171,1.113611897,High Risk
Anuradapura AdministrativeArea2,2005-12-09,163.193347,-0.132581424,-1.984939989,Moderate Risk
Anuradapura AdministrativeArea3,2005-12-10,55.2803772,-0.433000493,1.709665287,Moderate Risk
Anuradapura AdministrativeArea2,2005-12-11,212.7759174,-2.293214039,-0.830776391,Moderate Risk
Anuradapura AdministrativeArea1,2005-12-12,110.7779843,1.629337969,-0.333385601,Moderate Risk
Anuradapura AdministrativeArea1,2005-12-13,78.83377915,1.400563576,0.449142316,Low Risk
Anuradapura AdministrativeArea4,2005-12-14,106.3182956,-1.11070814,1.665239176,Moderate Risk
Anuradapura AdministrativeArea4,2005-12-15,169.0394703,0.569975684,1.709306493,High Risk
Anuradapura AdministrativeArea4,2005-12-16,62.46410782,-0.686652096,0.253887051,Moderate Risk
Anuradapura AdministrativeArea3,2005-12-17,270.7880967,1.346135716,-0.733102017,Moderate Risk
Anuradapura AdministrativeArea4,2005-12-18,189.9795041,0.962422281,-0.883240233,Moderate Risk
Anuradapura AdministrativeArea2,2005-12-19,123.249045,-2.047665094,-0.542411605,Moderate Risk
Anuradapura AdministrativeArea1,2005-12-20,221.751212,1.720940827,-1.277945266,Moderate Risk
Anuradapura AdministrativeArea1,2005-12-21,251.0591242,-1.602869475,0.679332073,High Risk
Anuradapura AdministrativeArea1,2005-12-22,203.481157,-1.629451488,0.111208205,High Risk
Anuradapura AdministrativeArea2,2005-12-23,100.6236705,1.168734374,1.093858801,Low Risk
Anuradapura AdministrativeArea4,2005-12-24,77.57210504,-1.583744693,-1.623554732,High Risk
Anuradapura AdministrativeArea2,2005-12-25,264.9749243,-1.888015232,-0.400376703,Moderate Risk
Anuradapura AdministrativeArea2,2005-12-26,108.6718534,-0.822085864,-1.040548527,Moderate Risk
Anuradapura AdministrativeArea3,2005-12-27,55.02060767,1.693562404,0.140744825,High Risk
Anuradapura AdministrativeArea3,2005-12-28,210.725527,-1.615956209,-0.127024065,Moderate Risk
Anuradapura AdministrativeArea1,2005-12-29,88.22133247,-0.804635034,-0.201738195,Moderate Risk
Anuradapura AdministrativeArea2,2005-12-30,297.7424549,-1.068730247,-0.737385472,Moderate Risk
Anuradapura AdministrativeArea1,2005-12-31,267.4327079,-0.719695676,0.907382298,Moderate Risk
Anuradapura AdministrativeArea2,2006-01-01,202.1114315,1.071358972,-0.073729183,Moderate Risk
Anuradapura AdministrativeArea1,2006-01-02,258.4664107,-0.472672095,-1.191024881,Moderate Risk
Anuradapura AdministrativeArea1,2006-01-03,167.6339252,1.297883407,0.189789892,Low Risk
Anuradapura AdministrativeArea4,2006-01-04,247.1215611,0.702015691,0.386688624,Low Risk
Anuradapura AdministrativeArea1,2006-01-05,211.6333881,-0.694504089,-1.914481291,Moderate Risk
Anuradapura AdministrativeArea3,2006-01-06,57.16116199,-0.338796092,-1.184885357,Moderate Risk
Anuradapura AdministrativeArea2,2006-01-07,287.1894169,1.01811356,-1.030384359,Moderate Risk
Anuradapura AdministrativeArea1,2006-01-08,265.2298945,0.173777066,-1.007699351,Moderate Risk
Anuradapura AdministrativeArea2,2006-01-09,288.3518476,1.841700807,-1.044616519,Moderate Risk
Anuradapura AdministrativeArea1,2006-01-10,232.8414836,2.165917092,-0.913435314,Moderate Risk
Anuradapura AdministrativeArea3,2006-01-11,153.0152304,1.08853663,-0.949091095,Moderate Risk
Anuradapura AdministrativeArea4,2006-01-12,101.7463058,2.446035599,1.536275349,No Risk
Anuradapura AdministrativeArea4,2006-01-13,94.99908689,0.482683937,-0.721408511,Moderate Risk
Anuradapura AdministrativeArea2,2006-01-14,86.2290621,-2.300846048,-0.600949143,Moderate Risk
Anuradapura AdministrativeArea1,2006-01-15,105.1524107,0.024260281,-0.93529095,Moderate Risk
Anuradapura AdministrativeArea3,2006-01-16,187.6590033,-1.349953603,1.870297438,Moderate Risk
Anuradapura AdministrativeArea2,2006-01-17,220.9362658,-0.831434098,0.141963201,Moderate Risk
Anuradapura AdministrativeArea4,2006-01-18,128.5141403,-0.049649739,0.442184457,Moderate Risk
Anuradapura AdministrativeArea2,2006-01-19,187.1867424,-1.024745978,0.941949048,Moderate Risk
Anuradapura AdministrativeArea2,2006-01-20,135.3131649,-0.951891806,-0.665143725,Moderate Risk
Anuradapura AdministrativeArea1,2006-01-21,224.1274934,-0.489918318,1.875121719,Moderate Risk
Anuradapura AdministrativeArea3,2006-01-22,297.1215551,-1.067713261,-1.39069531,Moderate Risk
Anuradapura AdministrativeArea4,2006-01-23,222.2542421,-1.652495024,-0.168741598,Moderate Risk
Anuradapura AdministrativeArea4,2006-01-24,64.75764421,1.327801313,-1.418242951,Moderate Risk
Anuradapura AdministrativeArea3,2006-01-25,169.3087395,-0.523941188,1.161502985,Moderate Risk
Anuradapura AdministrativeArea1,2006-01-26,242.5968732,1.658786502,-1.570729232,High Risk
Anuradapura AdministrativeArea3,2006-01-27,185.5604016,1.913584948,0.215598414,High Risk
Anuradapura AdministrativeArea3,2006-01-28,287.7657574,1.254817431,-1.5807749,High Risk
Anuradapura AdministrativeArea1,2006-01-29,63.6929198,-0.51663419,-0.189352447,Moderate Risk
Anuradapura AdministrativeArea1,2006-01-30,122.7888858,1.106610565,-0.878768037,Moderate Risk
Anuradapura AdministrativeArea4,2006-01-31,105.1795269,-1.723897478,1.613187032,High Risk
Anuradapura AdministrativeArea4,2006-02-01,241.9055504,0.805578796,-1.78761682,High Risk
Anuradapura AdministrativeArea1,2006-02-02,180.9482671,-0.46983968,0.599750519,Moderate Risk
Anuradapura AdministrativeArea2,2006-02-03,84.58605284,0.778222075,0.781004932,Low Risk
Anuradapura AdministrativeArea4,2006-02-04,121.3983159,1.273952961,1.55592841,High Risk
Anuradapura AdministrativeArea1,2006-02-05,180.6648307,0.31343244,1.510917825,High Risk
Anuradapura AdministrativeArea1,2006-02-06,299.0322453,0.712392965,1.908225146,High Risk
Anuradapura AdministrativeArea2,2006-02-07,141.0730894,-1.432360343,-0.984362583,Moderate Risk
Anuradapura AdministrativeArea3,2006-02-08,89.20652433,0.463497774,-0.900698495,Moderate Risk
Anuradapura AdministrativeArea1,2006-02-09,174.2666314,-0.197628556,-0.410829088,Moderate Risk
Anuradapura AdministrativeArea2,2006-02-10,127.5465943,-0.359735702,0.150307923,Moderate Risk
Anuradapura AdministrativeArea2,2006-02-11,191.491706,-0.448421228,-0.531432326,Moderate Risk
Anuradapura AdministrativeArea4,2006-02-12,166.6775757,-0.94537986,0.961185642,Moderate Risk
Anuradapura AdministrativeArea1,2006-02-13,222.3724804,-0.973326688,-1.965819792,Moderate Risk
Anuradapura AdministrativeArea4,2006-02-14,278.5726772,0.99853214,-1.929382738,High Risk
Anuradapura AdministrativeArea3,2006-02-15,100.1285877,0.288998779,0.864227039,Low Risk
Anuradapura AdministrativeArea3,2006-02-16,255.2950176,-2.350239463,1.53248489,High Risk
Anuradapura AdministrativeArea4,2006-02-17,287.3164289,-2.25737385,1.106189815,High Risk
Anuradapura AdministrativeArea4,2006-02-18,143.4024204,0.350595005,-1.531633546,High Risk
Anuradapura AdministrativeArea1,2006-02-19,78.41567515,1.731417394,1.739896108,No Risk
Anuradapura AdministrativeArea1,2006-02-20,255.4777927,-2.280110944,0.087650474,High Risk
Anuradapura AdministrativeArea1,2006-02-21,225.2739524,0.036034671,0.969180608,Low Risk
Anuradapura AdministrativeArea3,2006-02-22,103.1780512,1.755676878,-1.195815209,Moderate Risk
Anuradapura AdministrativeArea4,2006-02-23,161.3058983,-2.47776011,0.195182524,High Risk
Anuradapura AdministrativeArea2,2006-02-24,194.4980516,-1.121030462,-0.679756785,Moderate Risk
Anuradapura AdministrativeArea4,2006-02-25,92.46352166,2.099601092,1.899043094,No Risk
Anuradapura AdministrativeArea2,2006-02-26,228.7282067,-2.092651883,-0.103215441,Moderate Risk
Anuradapura AdministrativeArea1,2006-02-27,222.4706853,0.534982387,1.022307942,Low Risk
Anuradapura AdministrativeArea1,2006-02-28,271.7816531,0.036908333,0.412927745,Low Risk
Anuradapura AdministrativeArea4,2006-03-01,191.8182411,-1.741603184,-1.622805005,High Risk
Anuradapura AdministrativeArea2,2006-03-02,193.5782577,-2.28756495,0.171711022,High Risk
Anuradapura AdministrativeArea3,2006-03-03,204.846839,0.012935509,0.16086347,Low Risk
Anuradapura AdministrativeArea1,2006-03-04,118.4458153,1.175650945,0.862837397,Low Risk
Anuradapura AdministrativeArea1,2006-03-05,239.6514628,-1.613786113,-0.712367934,Moderate Risk
Anuradapura AdministrativeArea4,2006-03-06,215.6248153,0.956599144,1.442608457,Low Risk
Anuradapura AdministrativeArea4,2006-03-07,259.7864064,0.231916559,0.490414003,Low Risk
Anuradapura AdministrativeArea3,2006-03-08,242.1465012,-0.710767872,-1.842634744,Moderate Risk
Anuradapura AdministrativeArea4,2006-03-09,209.6430576,0.822152481,0.827343154,Low Risk
Anuradapura AdministrativeArea3,2006-03-10,90.22303773,-1.540116112,1.62786764,High Risk
Anuradapura AdministrativeArea2,2006-03-11,279.7868308,-0.215343395,0.732588381,Moderate Risk
Anuradapura AdministrativeArea3,2006-03-12,141.8030453,0.246524908,-0.480010782,Moderate Risk
Anuradapura AdministrativeArea2,2006-03-13,291.0746421,-0.206522299,0.362595322,Moderate Risk
Anuradapura AdministrativeArea1,2006-03-14,150.4677005,-0.512493116,-1.314406916,Moderate Risk
Anuradapura AdministrativeArea4,2006-03-15,86.48457317,1.204568198,0.405021894,Low Risk
Anuradapura AdministrativeArea1,2006-03-16,271.2099369,0.780504833,0.003970978,Low Risk
Anuradapura AdministrativeArea3,2006-03-17,248.764685,0.697310427,-1.895369246,High Risk
Anuradapura AdministrativeArea3,2006-03-18,246.574014,1.959003225,-0.712440455,Moderate Risk
Anuradapura AdministrativeArea3,2006-03-19,72.35268768,2.467503287,-1.235011004,Moderate Risk
Anuradapura AdministrativeArea2,2006-03-20,269.8199583,0.336022666,-0.437392293,Moderate Risk
Anuradapura AdministrativeArea1,2006-03-21,199.1001593,-0.758660612,-1.032670283,Moderate Risk
Anuradapura AdministrativeArea1,2006-03-22,167.5889341,1.394376746,1.336994791,Low Risk
Anuradapura AdministrativeArea3,2006-03-23,278.2929054,-1.789504686,0.790733956,High Risk
Anuradapura AdministrativeArea4,2006-03-24,216.5103381,0.064545855,0.960458967,Low Risk
Anuradapura AdministrativeArea1,2006-03-25,83.25770596,0.12254241,-0.556530759,Moderate Risk
Anuradapura AdministrativeArea4,2006-03-26,179.884294,2.417339338,-1.986214539,High Risk
Anuradapura AdministrativeArea1,2006-03-27,209.1541472,2.455034075,-1.123385231,Moderate Risk
Anuradapura AdministrativeArea3,2006-03-28,274.6376744,1.496070691,1.021192818,Low Risk
Anuradapura AdministrativeArea3,2006-03-29,119.9735254,-0.134921561,0.411347229,Moderate Risk
Anuradapura AdministrativeArea1,2006-03-30,248.5584714,0.23612895,0.154312663,Low Risk
Anuradapura AdministrativeArea2,2006-03-31,249.953226,-0.901291842,-0.877920258,Moderate Risk
Anuradapura AdministrativeArea2,2006-04-01,82.01237121,1.649228518,-1.697030692,High Risk
Anuradapura AdministrativeArea1,2006-04-02,54.30829569,1.232730969,1.139465881,Low Risk
Anuradapura AdministrativeArea3,2006-04-03,195.352424,1.357126439,-1.845377728,High Risk
Anuradapura AdministrativeArea1,2006-04-04,247.3697216,-1.806618309,-1.763454125,High Risk
Anuradapura AdministrativeArea4,2006-04-05,188.6077061,-0.506830143,-0.820259057,Moderate Risk
Anuradapura AdministrativeArea3,2006-04-06,253.3368713,0.186758452,0.29173471,Low Risk
Anuradapura AdministrativeArea2,2006-04-07,205.5757851,-1.876710157,1.968906066,High Risk
Anuradapura AdministrativeArea2,2006-04-08,213.3230904,-0.656884868,-1.637433698,Moderate Risk
Anuradapura AdministrativeArea1,2006-04-09,57.03860644,-2.062837388,-0.107316803,Moderate Risk
Anuradapura AdministrativeArea4,2006-04-10,72.14955073,2.294206136,0.407013212,High Risk
Anuradapura AdministrativeArea3,2006-04-11,231.2574044,1.256316648,1.292420962,Low Risk
Anuradapura AdministrativeArea2,2006-04-12,240.7108206,0.603740605,0.75845566,Low Risk
Anuradapura AdministrativeArea1,2006-04-13,185.5444945,-1.475717832,1.230966318,Moderate Risk
Anuradapura AdministrativeArea1,2006-04-14,197.5412819,-0.829362814,0.089876028,Moderate Risk
Anuradapura AdministrativeArea3,2006-04-15,203.59146,-1.77757549,-0.264116786,Moderate Risk
Anuradapura AdministrativeArea1,2006-04-16,76.24782971,0.180598135,0.474913269,Low Risk
Anuradapura AdministrativeArea1,2006-04-17,216.9771511,1.602579949,1.603483238,No Risk
Anuradapura AdministrativeArea1,2006-04-18,169.6174942,-2.404817392,0.203388649,High Risk
Anuradapura AdministrativeArea2,2006-04-19,200.6307442,-1.983456652,0.422372477,High Risk
Anuradapura AdministrativeArea2,2006-04-20,190.7854572,-1.35325113,-0.648095387,Moderate Risk
Anuradapura AdministrativeArea4,2006-04-21,240.7500621,1.070333716,0.384485782,Low Risk
Anuradapura AdministrativeArea3,2006-04-22,129.6420659,1.969899194,0.511056491,High Risk
Anuradapura AdministrativeArea3,2006-04-23,143.3815613,1.265061684,1.013701944,Low Risk
Anuradapura AdministrativeArea3,2006-04-24,147.9015766,0.124737751,0.28870678,Low Risk
Anuradapura AdministrativeArea3,2006-04-25,240.6140248,-1.974438179,-1.209798821,Moderate Risk
Anuradapura AdministrativeArea1,2006-04-26,157.7781555,1.274571872,0.327704337,Low Risk
Anuradapura AdministrativeArea3,2006-04-27,94.26869293,-1.971801298,-0.808514364,Moderate Risk
Anuradapura AdministrativeArea4,2006-04-28,295.7602426,-0.761550725,-1.65070202,Moderate Risk
Anuradapura AdministrativeArea3,2006-04-29,173.345466,-0.960042443,1.301732526,Moderate Risk
Anuradapura AdministrativeArea3,2006-04-30,77.31202079,-0.703882683,-1.735711549,Moderate Risk
Anuradapura AdministrativeArea1,2006-05-01,217.568739,-0.852354783,0.52681294,Moderate Risk
Anuradapura AdministrativeArea1,2006-05-02,234.7905894,1.345898584,1.953978452,High Risk
Anuradapura AdministrativeArea1,2006-05-03,175.0557097,-1.64138133,-1.649523314,High Risk
Anuradapura AdministrativeArea4,2006-05-04,211.6143046,1.729230251,-1.119472624,Moderate Risk
Anuradapura AdministrativeArea1,2006-05-05,93.16871612,1.791301237,1.043216851,High Risk
Anuradapura AdministrativeArea3,2006-05-06,141.9805963,-0.045370886,-1.612423473,Moderate Risk
Anuradapura AdministrativeArea4,2006-05-07,90.45715084,-1.969256258,1.330900102,High Risk
Anuradapura AdministrativeArea2,2006-05-08,146.8088141,0.377036195,-1.998919511,High Risk
Anuradapura AdministrativeArea1,2006-05-09,190.7001305,1.604656859,1.559789362,No Risk
Anuradapura AdministrativeArea4,2006-05-10,160.6348518,-1.052632404,-1.732707391,Moderate Risk
Anuradapura AdministrativeArea2,2006-05-11,198.3037102,1.688737121,1.687919394,No Risk
Anuradapura AdministrativeArea1,2006-05-12,175.4397933,0.884594264,1.458204932,Low Risk
Anuradapura AdministrativeArea2,2006-05-13,129.4535934,2.436232204,0.158252476,High Risk
Anuradapura AdministrativeArea1,2006-05-14,85.85399953,1.623556817,1.111794514,High Risk
Anuradapura AdministrativeArea4,2006-05-15,113.1682154,-1.49249768,-1.700492608,Moderate Risk
Anuradapura AdministrativeArea1,2006-05-16,100.178313,-0.254979702,-1.459408592,Moderate Risk
Anuradapura AdministrativeArea1,2006-05-17,226.8555734,-1.982457676,-0.522850626,Moderate Risk
Anuradapura AdministrativeArea4,2006-05-18,254.9917111,-2.151647166,0.149834352,High Risk
Anuradapura AdministrativeArea4,2006-05-19,230.0971513,1.030271204,1.472857039,Low Risk
Anuradapura AdministrativeArea3,2006-05-20,210.9335367,2.064659024,0.17072179,High Risk
Anuradapura AdministrativeArea3,2006-05-21,126.9628385,2.367877583,0.66082073,High Risk
Anuradapura AdministrativeArea4,2006-05-22,227.7463898,-1.147668229,0.719537681,Moderate Risk
Anuradapura AdministrativeArea1,2006-05-23,201.270865,-1.491143291,1.51027251,Moderate Risk
Anuradapura AdministrativeArea2,2006-05-24,61.72334167,0.301099435,1.107018975,Low Risk
Anuradapura AdministrativeArea4,2006-05-25,276.9030296,-1.495699635,1.908121194,Moderate Risk
Anuradapura AdministrativeArea2,2006-05-26,69.98846028,-1.02046455,-1.919949447,Moderate Risk
Anuradapura AdministrativeArea3,2006-05-27,175.676976,1.68613165,-1.168685294,Moderate Risk
Anuradapura AdministrativeArea3,2006-05-28,178.2672882,1.552314282,1.721782942,No Risk
Anuradapura AdministrativeArea4,2006-05-29,259.2517972,1.975366375,1.168880883,High Risk
Anuradapura AdministrativeArea4,2006-05-30,278.2668753,-0.088782425,-0.930549016,Moderate Risk
Anuradapura AdministrativeArea1,2006-05-31,284.9189479,0.320428668,1.89698662,High Risk
Anuradapura AdministrativeArea3,2006-06-01,192.4180334,1.352947541,1.479524109,Low Risk
Anuradapura AdministrativeArea3,2006-06-02,219.7605576,-1.303672334,-1.741371094,Moderate Risk
Anuradapura AdministrativeArea4,2006-06-03,72.1299656,1.615467956,1.24523938,High Risk
Anuradapura AdministrativeArea2,2006-06-04,171.9790027,-2.412212601,1.137950453,High Risk
Anuradapura AdministrativeArea1,2006-06-05,274.4641761,1.488299444,-1.115387794,Moderate Risk
Anuradapura AdministrativeArea4,2006-06-06,163.9242878,1.379539739,0.676986044,Low Risk
Anuradapura AdministrativeArea2,2006-06-07,67.39848386,-0.991100251,1.880903676,Moderate Risk
Anuradapura AdministrativeArea1,2006-06-08,100.1602856,1.139561791,0.703475186,Low Risk
Anuradapura AdministrativeArea2,2006-06-09,157.3767306,-1.430031929,1.255060758,Moderate Risk
Anuradapura AdministrativeArea1,2006-06-10,109.3820762,0.381163188,-1.602453921,High Risk
Anuradapura AdministrativeArea1,2006-06-11,148.0731463,1.002933875,0.909835157,Low Risk
Anuradapura AdministrativeArea1,2006-06-12,133.2404688,1.073494412,-1.180981145,Moderate Risk
Anuradapura AdministrativeArea3,2006-06-13,129.7322632,2.414675675,-1.71258331,High Risk
Anuradapura AdministrativeArea4,2006-06-14,72.79115244,-1.589971691,0.208309698,High Risk
Anuradapura AdministrativeArea3,2006-06-15,270.6786728,-0.096006856,1.00244445,Moderate Risk
Anuradapura AdministrativeArea3,2006-06-16,223.1765634,1.900522721,0.186979462,High Risk
Anuradapura AdministrativeArea1,2006-06-17,205.8454771,0.30756303,1.726387496,High Risk
Anuradapura AdministrativeArea4,2006-06-18,201.617352,1.881945127,0.782665382,High Risk
Anuradapura AdministrativeArea4,2006-06-19,149.1255562,-0.329706113,-1.529700704,Moderate Risk
Anuradapura AdministrativeArea4,2006-06-20,255.8288272,1.476757106,1.738072776,High Risk
Anuradapura AdministrativeArea4,2006-06-21,282.5099985,1.850246495,-1.38844807,Moderate Risk
Anuradapura AdministrativeArea1,2006-06-22,51.40431225,1.732196849,1.033021774,High Risk
Anuradapura AdministrativeArea4,2006-06-23,69.79961921,1.856825223,-1.405825283,Moderate Risk
Anuradapura AdministrativeArea2,2006-06-24,218.7439043,-1.402226517,1.994321103,Moderate Risk
Anuradapura AdministrativeArea2,2006-06-25,109.0166807,-0.305079347,-0.671249967,Moderate Risk
Anuradapura AdministrativeArea3,2006-06-26,277.9262497,-1.627140645,-0.016282712,Moderate Risk
Anuradapura AdministrativeArea1,2006-06-27,216.8532663,-1.597294113,-0.132649972,Moderate Risk
Anuradapura AdministrativeArea3,2006-06-28,142.0728138,-0.060863461,-1.59241118,Moderate Risk
Anuradapura AdministrativeArea3,2006-06-29,153.8206007,2.300438774,-0.02394,Moderate Risk
Anuradapura AdministrativeArea4,2006-06-30,222.7206263,0.459556532,-1.401976023,Moderate Risk
Anuradapura AdministrativeArea2,2006-07-01,85.24102565,1.769225483,1.207923271,High Risk
Anuradapura AdministrativeArea2,2006-07-02,270.8529701,2.185919973,1.833253734,No Risk
Anuradapura AdministrativeArea4,2006-07-03,51.19292461,-2.067123206,1.232233765,High Risk
Anuradapura AdministrativeArea4,2006-07-04,294.7367383,-1.689680049,-0.275744018,Moderate Risk
Anuradapura AdministrativeArea1,2006-07-05,91.91137009,-1.045791099,-1.990514412,Moderate Risk
Anuradapura AdministrativeArea2,2006-07-06,235.5278397,0.58388534,-1.853426157,High Risk
Anuradapura AdministrativeArea3,2006-07-07,59.98117676,-2.191353908,-0.01985942,Moderate Risk
Anuradapura AdministrativeArea3,2006-07-08,157.8572248,1.433272549,0.717949205,Low Risk
Anuradapura AdministrativeArea1,2006-07-09,207.5784206,-2.181056415,1.278056261,High Risk
Anuradapura AdministrativeArea2,2006-07-10,67.5568644,-1.707840962,0.398126044,High Risk
Anuradapura AdministrativeArea4,2006-07-11,160.8233822,-0.591460679,1.913252505,Moderate Risk
Anuradapura AdministrativeArea3,2006-07-12,125.7841008,0.288599283,-0.024887871,Moderate Risk
Anuradapura AdministrativeArea2,2006-07-13,174.560903,1.90752337,0.4001152,High Risk
Anuradapura AdministrativeArea2,2006-07-14,176.144134,2.318648893,-1.079590707,Moderate Risk
